P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
14,3,2,0,0,1,0,0,Indirect,Low
14,4,3,0,0,1,0,0,Direct,High
14,5,4,1,0,1,0,0,Direct,Low
14,6,1,0,0,0,0,0,Indirect,High
14,7,2,0,0,1,0,0,Indirect,Low
14,8,3,0,0,0,1,0,Direct,High
14,9,4,0,0,0,0,0,Direct,Low
14,10,1,0,1,0,0,0,Indirect,High
14,11,2,0,1,0,0,0,Indirect,Low
14,12,3,1,0,0,0,0,Direct,High
14,13,4,1,0,1,0,0,Direct,Low
14,14,1,1,0,0,0,0,Indirect,High
14,15,2,1,1,1,0,0,Indirect,Low
14,16,3,0,1,0,0,0,Direct,High
14,17,4,0,1,1,0,0,Direct,Low
14,18,1,0,0,1,0,0,Indirect,High
14,19,2,0,1,0,0,0,Indirect,Low
14,20,3,0,1,1,0,0,Direct,High
14,21,4,0,0,0,0,0,Direct,Low
14,22,1,0,0,0,0,0,Indirect,High
14,23,2,0,1,0,0,0,Indirect,Low
14,24,3,0,0,0,0,0,Direct,High
14,25,4,0,0,0,0,0,Direct,Low
14,26,1,0,0,0,0,0,Indirect,High
14,27,2,1,1,1,0,0,Indirect,Low
14,28,3,0,1,0,0,0,Direct,High
15,1,3,0,0,0,0,0,Direct,High
15,2,4,0,0,0,0,0,Direct,Low
15,3,1,0,0,0,0,0,Indirect,High
15,4,2,1,0,1,0,0,Indirect,Low
15,5,3,0,0,0,0,0,Direct,High
15,6,4,0,0,0,0,0,Direct,Low
15,7,1,0,0,0,0,0,Indirect,High
15,8,2,,,,,,Indirect,Low
15,9,3,0,0,0,0,0,Direct,High
15,10,4,1,0,1,1,0,Direct,Low
15,11,1,1,0,0,0,0,Indirect,High
15,12,2,0,1,0,0,0,Indirect,Low
15,13,3,0,0,0,0,0,Direct,High
15,14,4,1,0,0,0,0,Direct,Low
15,15,1,0,0,0,0,0,Indirect,High
15,16,2,0,1,0,0,0,Indirect,Low
15,17,3,0,0,0,0,0,Direct,High
15,18,4,0,0,0,0,0,Direct,Low
15,19,1,0,0,0,0,0,Indirect,High
15,20,2,0,0,0,0,0,Indirect,Low
15,21,3,0,0,0,0,0,Direct,High
15,22,4,0,1,0,0,0,Direct,Low
15,23,1,0,1,0,0,0,Indirect,High
15,24,2,0,0,0,0,0,Indirect,Low
15,25,3,0,0,0,0,0,Direct,High
15,26,4,0,0,0,0,0,Direct,Low
15,27,1,0,1,0,0,0,Indirect,High
15,28,2,0,0,0,0,0,Indirect,Low
16,1,2,1,0,0,0,0,Indirect,Low
16,2,3,0,0,0,0,0,Direct,High
16,3,4,0,1,0,0,0,Direct,Low
16,4,1,0,0,0,0,0,Indirect,High
16,5,2,0,0,0,0,0,Indirect,Low
16,6,3,0,1,0,0,0,Direct,High
16,7,4,1,0,0,0,0,Direct,Low
16,8,1,0,0,0,1,0,Indirect,High
16,9,2,0,1,0,0,0,Indirect,Low
16,10,3,1,0,1,0,0,Direct,High
16,11,4,0,0,0,0,0,Direct,Low
16,12,1,1,1,0,0,0,Indirect,High
16,13,2,0,0,0,0,0,Indirect,Low
16,14,3,0,1,0,0,0,Direct,High
16,15,4,0,1,0,0,0,Direct,Low
16,16,1,1,1,0,1,0,Indirect,High
16,17,2,1,1,0,0,0,Indirect,Low
16,18,3,0,0,0,0,0,Direct,High
16,19,4,0,1,0,0,0,Direct,Low
16,20,1,0,0,0,0,0,Indirect,High
16,21,2,0,1,0,0,0,Indirect,Low
16,22,3,0,0,0,0,0,Direct,High
16,23,4,0,0,0,0,0,Direct,Low
16,24,1,0,1,0,0,0,Indirect,High
16,25,2,0,0,0,0,0,Indirect,Low
16,26,3,0,0,0,0,0,Direct,High
16,27,4,0,0,0,0,0,Direct,Low
16,28,1,1,0,0,0,0,Indirect,High
17,1,1,0,0,0,0,0,Indirect,High
17,2,2,0,0,0,0,0,Indirect,Low
17,3,3,0,1,0,0,0,Direct,High
17,4,4,0,0,0,1,0,Direct,Low
17,5,1,0,0,0,0,0,Indirect,High
17,6,2,0,0,0,0,0,Indirect,Low
17,7,3,0,1,0,0,0,Direct,High
17,8,4,0,0,0,0,0,Direct,Low
17,9,1,0,0,0,0,0,Indirect,High
17,10,2,0,0,0,0,0,Indirect,Low
17,11,3,0,0,0,0,0,Direct,High
17,12,4,0,0,0,1,0,Direct,Low
17,13,1,0,1,0,1,0,Indirect,High
17,14,2,0,1,0,0,0,Indirect,Low
17,15,3,0,0,0,1,0,Direct,High
17,16,4,0,0,0,1,0,Direct,Low
17,17,1,0,1,0,0,0,Indirect,High
17,18,2,0,0,0,0,0,Indirect,Low
17,19,3,0,0,0,0,0,Direct,High
17,20,4,0,0,0,0,0,Direct,Low
17,21,1,0,0,0,0,0,Indirect,High
17,22,2,0,0,0,0,0,Indirect,Low
17,23,3,0,0,0,0,0,Direct,High
17,24,4,0,0,0,0,0,Direct,Low
17,25,1,0,0,0,0,0,Indirect,High
17,26,2,0,1,0,0,0,Indirect,Low
17,27,3,0,0,0,1,0,Direct,High
17,28,4,0,0,0,0,0,Direct,Low
18,1,4,0,0,1,1,0,Direct,Low
18,2,1,1,1,0,0,0,Indirect,High
18,3,2,1,1,0,0,0,Indirect,Low
18,4,3,1,0,0,0,0,Direct,High
18,5,4,1,1,0,0,0,Direct,Low
18,6,1,0,0,1,0,0,Indirect,High
18,7,2,0,1,0,0,0,Indirect,Low
18,8,3,0,0,0,1,0,Direct,High
18,9,4,1,0,1,0,0,Direct,Low
18,10,1,0,1,0,0,0,Indirect,High
18,11,2,0,0,0,0,0,Indirect,Low
18,12,3,0,0,0,0,0,Direct,High
18,13,4,0,0,1,0,0,Direct,Low
18,14,1,0,1,0,0,0,Indirect,High
18,15,2,0,0,0,0,0,Indirect,Low
18,16,3,0,0,0,0,0,Direct,High
18,17,4,1,0,0,1,0,Direct,Low
18,18,1,0,0,0,0,0,Indirect,High
18,19,2,0,0,0,0,0,Indirect,Low
18,20,3,0,0,0,0,0,Direct,High
18,21,4,0,1,0,0,0,Direct,Low
18,22,1,0,0,0,0,0,Indirect,High
18,23,2,1,1,0,0,0,Indirect,Low
18,24,3,0,0,0,0,0,Direct,High
18,25,4,1,0,1,0,0,Direct,Low
18,26,1,0,0,0,0,0,Indirect,High
18,27,2,1,1,0,0,0,Indirect,Low
18,28,3,1,0,0,1,0,Direct,High
19,1,3,1,1,0,1,0,Direct,High
19,2,4,0,0,0,0,0,Direct,Low
19,3,1,0,1,0,0,0,Indirect,High
19,4,2,0,1,1,1,0,Indirect,Low
19,5,3,1,0,0,0,0,Direct,High
19,6,4,1,0,1,0,0,Direct,Low
19,7,1,1,1,0,0,0,Indirect,High
19,8,2,,,,,,Indirect,Low
19,9,3,0,1,0,0,0,Direct,High
19,10,4,1,0,1,1,0,Direct,Low
19,11,1,0,1,0,0,0,Indirect,High
19,12,2,0,1,0,0,0,Indirect,Low
19,13,3,1,0,0,1,0,Direct,High
19,14,4,1,1,1,0,0,Direct,Low
19,15,1,0,0,1,0,0,Indirect,High
19,16,2,1,1,0,0,0,Indirect,Low
19,17,3,0,1,0,0,0,Direct,High
19,18,4,0,1,0,1,0,Direct,Low
19,19,1,1,1,0,0,0,Indirect,High
19,20,2,0,0,0,0,0,Indirect,Low
19,21,3,0,1,0,0,0,Direct,High
19,22,4,1,0,0,0,0,Direct,Low
19,23,1,1,0,1,0,0,Indirect,High
19,24,2,0,1,0,0,0,Indirect,Low
19,25,3,1,0,0,0,0,Direct,High
19,26,4,0,0,0,0,0,Direct,Low
19,27,1,0,0,0,0,0,Indirect,High
19,28,2,0,1,0,0,0,Indirect,Low
20,1,2,0,0,0,0,0,Indirect,Low
20,2,3,0,0,0,0,0,Direct,High
20,3,4,0,0,0,0,0,Direct,Low
20,4,1,0,0,1,0,0,Indirect,High
20,5,2,0,0,0,0,0,Indirect,Low
20,6,3,0,1,0,0,0,Direct,High
20,7,4,0,0,0,0,0,Direct,Low
20,8,1,0,1,0,1,0,Indirect,High
20,9,2,0,0,0,0,0,Indirect,Low
20,10,3,0,0,0,1,0,Direct,High
20,11,4,0,0,0,0,0,Direct,Low
20,12,1,0,0,0,0,0,Indirect,High
20,13,2,0,0,0,0,0,Indirect,Low
20,14,3,0,0,0,0,0,Direct,High
20,15,4,0,0,0,0,0,Direct,Low
20,16,1,0,0,0,0,0,Indirect,High
20,17,2,0,1,0,0,0,Indirect,Low
20,18,3,0,1,1,0,0,Direct,High
20,19,4,0,1,0,0,0,Direct,Low
20,20,1,0,0,0,0,0,Indirect,High
20,21,2,0,0,0,0,0,Indirect,Low
20,22,3,0,0,0,0,0,Direct,High
20,23,4,0,0,0,0,0,Direct,Low
20,24,1,0,0,0,0,0,Indirect,High
20,25,2,0,0,0,0,0,Indirect,Low
20,26,3,0,0,0,0,0,Direct,High
20,27,4,0,0,0,0,0,Direct,Low
20,28,1,0,0,0,0,0,Indirect,High
21,1,1,0,0,0,0,0,Indirect,High
21,2,2,1,0,0,1,0,Indirect,Low
21,3,3,0,0,0,0,0,Direct,High
21,4,4,0,0,0,0,0,Direct,Low
21,5,1,0,1,0,0,0,Indirect,High
21,6,2,0,0,0,1,0,Indirect,Low
21,7,3,0,0,0,0,0,Direct,High
21,8,4,1,0,0,0,0,Direct,Low
21,9,1,0,0,0,0,0,Indirect,High
21,10,2,0,0,0,0,0,Indirect,Low
21,11,3,0,0,0,0,0,Direct,High
21,12,4,0,0,0,0,0,Direct,Low
21,13,1,0,1,0,0,0,Indirect,High
21,14,2,1,0,0,0,0,Indirect,Low
21,15,3,0,0,0,0,0,Direct,High
21,16,4,0,0,0,0,0,Direct,Low
21,17,1,0,0,0,0,0,Indirect,High
21,18,2,0,0,0,0,0,Indirect,Low
21,19,3,0,0,0,0,0,Direct,High
21,20,4,0,0,0,0,0,Direct,Low
21,21,1,0,0,0,0,0,Indirect,High
21,22,2,0,0,0,0,0,Indirect,Low
21,23,3,0,1,0,0,0,Direct,High
21,24,4,0,0,0,0,0,Direct,Low
21,25,1,0,1,0,0,0,Indirect,High
21,26,2,0,1,0,1,0,Indirect,Low
21,27,3,0,0,0,0,0,Direct,High
21,28,4,0,0,1,0,0,Direct,Low
22,1,4,1,0,0,0,0,Direct,Low
22,2,1,0,0,0,0,0,Indirect,High
22,3,2,1,0,0,0,0,Indirect,Low
22,4,3,0,1,0,0,0,Direct,High
22,5,4,0,0,0,1,0,Direct,Low
22,6,1,0,0,0,1,0,Indirect,High
22,7,2,0,0,0,1,0,Indirect,Low
22,8,3,1,0,1,0,0,Direct,High
22,9,4,0,0,0,0,0,Direct,Low
22,10,1,1,0,1,1,0,Indirect,High
22,11,2,0,0,0,0,0,Indirect,Low
22,12,3,1,1,0,0,0,Direct,High
22,13,4,0,0,0,0,0,Direct,Low
22,14,1,0,1,0,0,0,Indirect,High
