P.s,Item,Condition,Prob-manip,Speaker,statement,response,final,Meaning,Probability
9,8,4,402,,122,1107,463,Direct,Low
9,9,1,4093,,134,1343,2000,Indirect,High
9,10,2,112,,180,851,620,Indirect,Low
9,11,3,2619,594,123,1419,1908,Direct,High
9,12,4,3228,,151,1093,1707,Direct,Low
9,13,1,3201,889,1404,1118,2531,Indirect,High
9,14,2,4873,340,1494,2067,1453,Indirect,Low
9,15,3,97,,115,1174,1103,Direct,High
9,16,4,3518,,158,1116,2867,Direct,Low
9,17,1,2005,,129,795,580,Indirect,High
9,18,2,118,,115,1401,957,Indirect,Low
9,19,3,4991,,152,780,467,Direct,High
9,20,4,1786,,184,1338,1571,Direct,Low
9,21,1,1559,313,1178,2207,748,Indirect,High
9,22,2,2385,,153,1340,568,Indirect,Low
9,23,3,2357,191,1122,1028,813,Direct,High
9,24,4,1642,160,125,2043,982,Direct,Low
9,25,1,907,,1553,1022,1039,Indirect,High
9,26,2,116,,1865,1461,1438,Indirect,Low
9,27,3,3460,,126,730,834,Direct,High
9,28,4,262,,129,1295,1934,Direct,Low
10,1,4,1413,,1196,981,1455,Direct,Low
10,2,1,811,,1299,611,684,Indirect,High
10,3,2,623,,1926,768,1163,Indirect,Low
10,4,3,1509,,1619,2831,466,Direct,High
10,5,4,637,,1367,505,1039,Direct,Low
10,6,1,1048,,1311,857,314,Indirect,High
10,7,2,1340,,388,695,1214,Indirect,Low
10,8,3,1093,,207,1264,717,Direct,High
10,9,4,2456,,266,323,2522,Direct,Low
10,10,1,1507,,260,167,628,Indirect,High
10,11,2,1487,444,1198,577,716,Indirect,Low
10,12,3,1040,,927,1048,431,Direct,High
10,13,4,1389,,1363,1878,768,Direct,Low
10,14,1,1874,,1492,1739,1130,Indirect,High
10,15,2,2019,,1333,1457,194,Indirect,Low
10,16,3,1522,395,449,1102,1438,Direct,High
10,17,4,2412,,856,322,571,Direct,Low
10,18,1,375,,887,874,1334,Indirect,High
10,19,2,1138,,861,407,649,Indirect,Low
10,20,3,743,,1834,1158,776,Direct,High
10,21,4,952,,1395,1752,762,Direct,Low
10,22,1,455,,906,2898,294,Indirect,High
10,23,2,3695,,905,559,1062,Indirect,Low
10,24,3,559,,814,769,356,Direct,High
10,25,4,991,,1436,580,1105,Direct,Low
10,26,1,207,,2087,245,1367,Indirect,High
10,27,2,2221,,710,1204,786,Indirect,Low
10,28,3,1552,,962,2362,1191,Direct,High
11,1,3,1698,872,1341,1775,896,Direct,High
11,2,4,1928,414,1417,1054,750,Direct,Low
11,3,1,1923,344,222,1853,1596,Indirect,High
11,4,2,2164,341,622,1963,1065,Indirect,Low
11,5,3,1100,725,2326,1382,1316,Direct,High
11,6,4,2865,421,2505,1607,718,Direct,Low
11,7,1,3057,563,684,2672,853,Indirect,High
11,8,2,,,,,,Indirect,Low
11,9,3,3049,643,754,1707,2367,Direct,High
11,10,4,2173,674,1017,851,,Direct,Low
11,11,1,2949,997,2152,2010,1431,Indirect,High
11,12,2,2158,331,1287,1581,867,Indirect,Low
11,13,3,1516,375,1059,1909,1212,Direct,High
11,14,4,2191,662,1739,2381,937,Direct,Low
11,15,1,2947,341,2051,2491,768,Indirect,High
11,16,2,3204,512,1315,2178,2061,Indirect,Low
11,17,3,3050,334,1433,1451,1524,Direct,High
11,18,4,2524,785,1091,1434,211,Direct,Low
11,19,1,3144,566,2103,2099,895,Indirect,High
11,20,2,1866,545,1323,1993,684,Indirect,Low
11,21,3,1658,411,1088,1084,413,Direct,High
11,22,4,2032,214,821,1160,240,Direct,Low
11,23,1,135,643,1311,1481,970,Indirect,High
